0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,chain_break_fraction,energy,num_occurrences
1,1,1,0,0,1,0,0,1,0,1,1,0,0,1,0,0.0,-9.156075645622115,315
0,0,0,1,1,0,1,1,0,1,0,0,1,1,0,1,0.0,-9.154738561869607,712
1,0,0,1,0,1,0,0,1,0,1,1,0,0,1,0,0.0,-9.052221086386858,215
0,1,1,0,1,0,1,1,0,1,0,0,1,1,0,1,0.0,-9.0470489681013,266
0,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1,0.0,-8.874738561869606,89
1,0,1,0,0,1,0,0,1,0,1,1,0,0,1,0,0.0,-8.872221086386858,44
0,0,0,1,0,1,0,0,1,0,1,1,0,0,1,0,0.0,-8.802221086386858,52
1,1,1,0,1,0,1,1,0,1,0,0,1,1,0,1,0.0,-8.791568527857326,44
0,0,0,1,1,0,1,0,0,1,0,0,1,1,0,1,0.0,-8.749167885980146,33
1,1,1,0,0,1,0,1,1,0,1,1,0,0,1,0,0.0,-8.747476032911568,26
0,1,1,0,0,1,0,0,1,0,1,1,0,0,1,0,0.0,-8.732911297521177,32
1,0,0,1,1,0,1,1,0,1,0,0,1,1,0,1,0.0,-8.726093773524696,36
1,1,1,1,0,1,0,0,1,0,1,1,0,0,1,0,0.0,-8.70360142978127,10
0,0,0,0,1,0,1,1,0,1,0,0,1,1,0,1,0.0,-8.693125303815389,36
0,0,1,0,0,1,0,0,1,0,1,1,0,0,1,0,0.0,-8.622221086386858,7
1,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1,0.0,-8.619258121625633,11
0,1,0,1,1,0,1,0,0,1,0,0,1,1,0,1,0.0,-8.469167885980145,5
1,0,1,0,0,1,0,1,1,0,1,1,0,0,1,0,0.0,-8.46362147367631,4
1,1,0,1,0,1,0,0,1,0,1,1,0,0,1,0,0.0,-8.420272734026089,3
1,0,1,1,0,1,0,0,1,0,1,1,0,0,1,0,0.0,-8.419746870546012,2
0,1,0,0,1,0,1,1,0,1,0,0,1,1,0,1,0.0,-8.413125303815388,3
0,0,1,0,1,0,1,1,0,1,0,0,1,1,0,1,0.0,-8.411246056505274,3
0,1,1,0,0,1,0,1,1,0,1,1,0,0,1,0,0.0,-8.32431168481063,3
0,1,1,1,0,1,0,0,1,0,1,1,0,0,1,0,0.0,-8.280437081680331,1
1,0,0,0,1,0,1,1,0,1,0,0,1,1,0,1,0.0,-8.264480515470478,3
1,1,0,1,1,0,1,0,0,1,0,0,1,1,0,1,0.0,-8.213687445736172,1
1,1,1,0,0,1,0,0,1,0,1,1,1,1,1,0,0.0,-8.139906532838577,3
0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,1,0.0,-8.135570675889461,4
1,1,1,0,0,1,0,0,1,0,1,1,1,0,1,0,0.0,-8.093736769452208,1
0,0,0,1,1,0,1,1,0,1,0,0,0,1,0,1,0.0,-8.085483496652536,1
1,0,0,1,0,1,0,0,1,0,1,1,1,1,1,0,0.0,-8.03605197360332,2
0,1,1,0,1,0,1,1,0,1,0,0,0,0,0,1,0.0,-8.027881082121155,5
0,1,0,1,0,1,0,0,1,0,1,1,0,0,1,0,0.0,-7.99710838592515,1
0,0,0,1,1,0,1,1,0,1,0,0,1,1,1,0,0.0,-7.921653260038905,1
0,0,0,1,1,0,1,1,0,1,0,0,1,1,1,1,0.0,-7.8832722500672165,2
1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,1,0.0,-7.845320738354922,2
0,1,1,0,1,0,0,0,0,1,1,1,1,1,1,0,0.0,-7.84224106500359,1
1,0,0,1,0,1,0,0,1,0,1,1,0,0,0,1,0.0,-7.824396607804961,1
0,1,1,0,1,0,1,1,0,1,0,0,1,1,1,0,0.0,-7.813963666270599,2
1,1,1,0,1,0,1,1,0,1,0,0,0,0,0,1,0.0,-7.772400641877182,1
0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0.0,-7.73,1
0,1,1,0,0,1,0,0,1,0,1,1,1,1,1,0,0.0,-7.7167421847376385,1
0,0,0,1,1,0,1,1,0,1,1,1,1,1,1,0,0.0,-7.708205993168905,1
0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0.0,-7.673957417835243,1
0,0,0,1,1,0,1,1,1,1,0,0,1,1,0,1,0.0,-7.67380669731656,1
0,0,0,1,1,1,0,0,0,0,1,1,0,0,1,0,0.0,-7.645435749384818,2
1,0,1,0,0,1,0,0,1,0,1,1,0,0,0,1,0.0,-7.644396607804961,1
0,1,0,1,1,0,1,1,0,1,0,0,1,1,1,1,0.0,-7.603272250067215,2
0,1,1,0,1,0,1,1,1,1,0,0,1,1,0,1,0.0,-7.566117103548254,1
0,1,1,0,0,1,0,0,1,0,1,1,0,0,0,1,0.0,-7.50508681893928,1
1,1,0,1,0,0,1,1,1,1,0,0,1,1,0,1,0.0,-7.470524488206501,1
1,1,1,0,0,1,0,0,1,0,1,0,0,0,1,1,0.0,-7.320742163023242,1
0,0,0,1,1,0,1,1,0,1,0,0,1,0,0,1,0.0,-7.2055706758894615,1
0,1,1,0,1,0,1,1,0,1,0,0,1,1,0,1,0.0625,-9.0470489681013,1
1,1,1,1,1,0,0,1,0,1,0,0,1,1,0,1,0.0,-5.968629399545569,1
