Height,Width,n,gurobi_value,annealer_lowest_value,annealer_most_value,annealer_most_occurrences
2,2,4,-1.31,-1.31,-1.3089672596969657,1190
3,3,9,-5.664,-5.663957417835244,-5.662045422789407,638
4,4,16,-9.1561,-9.156075645622115,-9.154738561869609,712
5,5,25,-14.3609,-14.360876362883682,-14.351763277739318,203
6,6,36,-19.097,-19.096960120576615,-19.073653112672947,123
7,7,49,-24.5276,-24.52762036947982,-24.499723277112707,71
8,8,64,-29.7315,-29.731479678853997,-29.63333558029278,10
9,9,81,-34.3854,-34.33296140772973,-34.26319680717656,3
10,10,100,-44.2767,-44.22231535670616,-43.99982454923823,3
11,11,121,-52.5937,-52.57510141181773,-52.45565425934189,2
12,12,144,-62.5217,-62.28016366021666,-62.28016366021666,1
13,13,169,-69.3493,-68.80525855448911,-68.80525855448911,1
14,14,196,-80.5633,-80.13426115963053,-80.13426115963053,1
15,15,225,-91.5851,-90.8417267670866,-90.8417267670866,1
16,16,256,-112.1857,-111.6376312034241,-111.6376312034241,1
17,17,289,-120.2586,-118.55556026696064,-118.55556026696064,1
18,18,324,-136.1671,-133.98762664751376,-133.98762664751376,1
19,19,361,-145.9795,-143.45151969743034,-143.45151969743034,1
20,20,400,-160.2048,-156.7095108138158,-156.7095108138158,1
21,21,441,-183.3095,-178.95911281218895,-178.95911281218895,1
22,22,484,-194.4188,-191.2679014084341,-191.2679014084341,1
23,23,529,-213.9831,-207.11589683899788,-207.11589683899788,1
24,24,576,-235.148,-229.5688790012428,-229.5688790012428,1
25,25,625,-253.6751,-248.90599391158256,-248.90599391158256,1
26,26,676,-269.0613,-261.7447358957815,-261.7447358957815,1
27,27,729,-285.434,-275.4535832702401,-275.4535832702401,1
28,28,784,-310.5122,-298.09558083884656,-298.09558083884656,1
29,29,841,-332.1651,-323.419977482207,-323.419977482207,1
30,30,900,-351.1583,-340.8449025880429,-340.8449025880429,1
31,31,961,-374.0455,-360.1574015195609,-360.1574015195609,1
32,32,1024,-396.2128,-381.4627313597455,-381.4627313597455,1
33,33,1089,-417.2804,-400.6107059134525,-400.6107059134525,1
34,34,1156,-447.2095,-429.242567988707,-429.242567988707,1
35,35,1225,-477.5688,-460.59075607145326,-460.59075607145326,1
36,36,1296,-508.3891,-486.00997046770647,-486.00997046770647,1
37,37,1369,-535.217,-504.5717449648872,-504.5717449648872,1
38,38,1444,-564.1212,-538.0274303001268,-538.0274303001268,1
39,39,1521,-594.804,-566.0805260622279,-566.0805260622279,1
40,40,1600,-626.4217,-600.6162606939739,-600.6162606939739,1
41,41,1681,-659.7223,-627.2353652679699,-627.2353652679699,1
42,42,1764,-689.9102,-653.5901414562579,-653.5901414562579,1
43,43,1849,-720.4718,-677.9561373350185,-677.9561373350185,1
44,44,1936,-752.5509,-714.1606047021829,-714.1606047021829,1
