Height,Width,n,gurobi_value,annealer_lowest_value,annealer_most_value,annealer_most_occurrences
2,2,4,-0.0031,-0.003140234574892,0.0,1260
3,3,9,-2.5581,-2.5580791977100907,-2.5533976952621638,728
4,4,16,-4.9018,-4.901787330559492,-4.880387329713507,613
5,5,25,-8.7405,-8.740488124753178,-8.740488124753178,1030
6,6,36,-11.6002,-11.600154358509492,-11.600154358509492,124
7,7,49,-17.1827,-17.182712878690047,-17.182712878690047,28
8,8,64,-20.3768,-20.37682110711488,-20.363091988402267,40
9,9,81,-27.2287,-27.228718277908506,-27.2186178771064,12
10,10,100,-32.6806,-32.68057543805102,-32.54276471925009,3
11,11,121,-42.8851,-42.88513292282278,-42.88513292282278,5
12,12,144,-48.6287,-48.48264374778542,-48.48264374778542,1
13,13,169,-59.7528,-59.53273278292897,-59.53273278292897,1
14,14,196,-70.4862,-69.64862542016435,-69.64862542016435,1
15,15,225,-79.8518,-78.87304091472384,-78.87304091472384,1
16,16,256,-95.6993,-94.68130438062316,-94.68130438062316,1
17,17,289,-114.2289,-112.38527115640146,-112.38527115640146,1
18,18,324,-126.0342,-124.22015567954308,-124.22015567954308,1
19,19,361,-142.0468,-139.51776463094703,-139.51776463094703,1
20,20,400,-156.0813,-153.57104427666766,-153.57104427666766,1
21,21,441,-172.6487,-169.3110234495444,-169.3110234495444,1
22,22,484,-193.8296,-189.19370231299752,-189.19370231299752,1
23,23,529,-204.7523,-199.87244045513975,-199.87244045513975,1
24,24,576,-228.7818,-223.8745163597849,-223.8745163597849,1
25,25,625,-244.4671,-237.02784150889931,-237.02784150889931,1
26,26,676,-273.9805,-266.9618628824734,-266.9618628824734,1
27,27,729,-292.8282,-283.32627163947217,-283.32627163947217,1
28,28,784,-310.6379,-296.02396828217934,-296.02396828217934,1
29,29,841,-332.6866,-320.29569271619266,-320.29569271619266,1
30,30,900,-363.6629,-353.37526738836976,-353.37526738836976,1
31,31,961,-393.8619,-378.6797538312408,-378.6797538312408,1
32,32,1024,-416.1104,-397.86584986738114,-397.86584986738114,1
33,33,1089,-443.3354,-431.15061085413225,-431.15061085413225,1
34,34,1156,-470.8979,-450.727232181472,-450.727232181472,1
35,35,1225,-502.4056,-480.7891118057812,-480.7891118057812,1
36,36,1296,-516.7167,-489.1626965187945,-489.1626965187945,1
37,37,1369,-563.1578,-545.1036533133056,-545.1036533133056,1
38,38,1444,-593.7117,-565.2213449802769,-565.2213449802769,1
39,39,1521,-613.0959,-578.8744388988337,-578.8744388988337,1
40,40,1600,-642.1537,-611.2022355933839,-611.2022355933839,1
41,41,1681,-681.9555,-659.9531840892613,-659.9531840892613,1
42,42,1764,-703.5588,-671.5535057869987,-671.5535057869987,1
43,43,1849,-742.6741,-707.1297797274668,-707.1297797274668,1
44,44,1936,-779.6526,-746.9994056629826,-746.9994056629826,1
