Height,Width,n,gurobi_value,annealer_lowest_value,annealer_most_value,annealer_most_occurrences
2,2,4,-0.5392,-0.5392242602961079,-0.5392242602961079,810
3,3,9,-3.485,-3.484992312328365,-3.4800000000000004,1173
4,4,16,-4.9762,-4.97616568669218,-4.97616568669218,250
5,5,25,-11.1683,-11.168251730528969,-11.168251730528969,361
6,6,36,-15.7315,-15.731516398261498,-15.721727586748557,343
7,7,49,-20.6994,-20.699442429209423,-20.69461309243824,46
8,8,64,-23.9644,-23.964425361588702,-23.964425361588702,6
9,9,81,-30.4272,-30.413932451916025,-30.117048046796462,2
10,10,100,-35.4813,-35.481308834754,-35.35107560158964,4
11,11,121,-42.4352,-42.37913926770135,-42.23419227280789,2
12,12,144,-52.8695,-52.2487965079169,-52.2487965079169,1
13,13,169,-65.8193,-65.75062420154201,-65.75062420154201,1
14,14,196,-77.779,-77.15203759775366,-77.15203759775366,1
15,15,225,-86.759,-85.87606425091698,-85.87606425091698,1
16,16,256,-100.3345,-98.76484206608455,-98.76484206608455,1
17,17,289,-113.3525,-111.48909037371332,-111.48909037371332,1
18,18,324,-123.2581,-121.660497153133,-121.660497153133,1
19,19,361,-134.2777,-131.60368628355994,-131.60368628355994,1
20,20,400,-158.2209,-154.15066332435592,-154.15066332435592,1
21,21,441,-177.8367,-174.00089828615964,-174.00089828615964,1
22,22,484,-194.5555,-188.81307461230344,-188.81307461230344,1
23,23,529,-218.9354,-213.90340808438145,-213.90340808438145,1
24,24,576,-234.6838,-228.99840522296,-228.99840522296,1
25,25,625,-250.5778,-243.21422667677217,-243.21422667677217,1
26,26,676,-268.6373,-261.74887345596534,-261.74887345596534,1
27,27,729,-283.5281,-273.9893505370671,-273.9893505370671,1
28,28,784,-308.4192,-297.96064114424325,-297.96064114424325,1
29,29,841,-332.0881,-319.78463390507824,-319.78463390507824,1
30,30,900,-358.13,-340.9839794556468,-340.9839794556468,1
31,31,961,-379.3054,-363.6177283894548,-363.6177283894548,1
32,32,1024,-412.7898,-400.80551863113016,-400.80551863113016,1
33,33,1089,-429.6606,-417.87832793263993,-417.87832793263993,1
34,34,1156,-450.5576,-429.3778150711543,-429.3778150711543,1
35,35,1225,-482.6019,-468.1753498387365,-468.1753498387365,1
36,36,1296,-502.5268,-478.15001519836005,-478.15001519836005,1
37,37,1369,-525.9759,-502.5805418008464,-502.5805418008464,1
38,38,1444,-554.2736,-523.9410288164271,-523.9410288164271,1
39,39,1521,-589.8362,-560.0382465661636,-560.0382465661636,1
40,40,1600,-619.5101,-587.0337407823017,-587.0337407823017,1
41,41,1681,-658.4291,-620.2472036664443,-620.2472036664443,1
42,42,1764,-686.4334,-647.7711881695038,-647.7711881695038,1
43,43,1849,-723.1895,-697.4188881690472,-697.4188881690472,1
44,44,1936,-763.2029,-726.2763267830778,-726.2763267830778,1
