Height,Width,n,gurobi_value,annealer_lowest_value,annealer_most_value,annealer_most_occurrences
2,2,4,-0.7887,-0.7886807024704746,-0.7870498900924914,1118
3,3,9,-3.43,-3.43,-3.4284937492631284,666
4,4,16,-5.7821,-5.782108836112442,-5.771212836737805,334
5,5,25,-9.2619,-9.261928964557214,-9.184365773071688,159
6,6,36,-14.6764,-14.676391694805083,-14.670561533374196,36
7,7,49,-18.4018,-18.401839692772636,-18.300235721179845,11
8,8,64,-24.7273,-24.72732074257592,-24.72732074257592,6
9,9,81,-33.1124,-33.112370080664164,-33.03294121739121,20
10,10,100,-38.6537,-38.65165915128957,-38.128503792089866,3
11,11,121,-47.0205,-46.89184223573275,-46.89184223573275,2
12,12,144,-56.7184,-56.70738625515638,-56.70738625515638,3
13,13,169,-64.3316,-64.12813245960854,-64.12813245960854,1
14,14,196,-79.7517,-79.07808650041525,-79.07808650041525,1
15,15,225,-89.9315,-88.70196316536496,-88.70196316536496,1
16,16,256,-103.168,-101.54880671515996,-101.54880671515996,1
17,17,289,-115.2605,-113.76379167415972,-113.76379167415972,1
18,18,324,-130.9114,-128.77424332839266,-128.77424332839266,1
19,19,361,-139.7864,-137.01791089150083,-137.01791089150083,1
20,20,400,-162.4281,-160.78633414414352,-160.78633414414352,1
21,21,441,-177.7599,-173.8285987117932,-173.8285987117932,1
22,22,484,-198.6738,-196.9246932114377,-196.9246932114377,1
23,23,529,-212.9314,-209.5172579622492,-209.5172579622492,1
24,24,576,-228.8221,-221.02699876063303,-221.02699876063303,1
25,25,625,-248.5766,-243.1642748200094,-243.1642748200094,1
26,26,676,-259.6324,-253.0770110587194,-253.0770110587194,1
27,27,729,-281.6803,-270.460638102219,-270.460638102219,1
28,28,784,-297.41,-288.84219004719074,-288.84219004719074,1
29,29,841,-310.007,-292.0559604619685,-292.0559604619685,1
30,30,900,-338.0789,-327.8561380328221,-327.8561380328221,1
31,31,961,-365.0898,-349.73337400105066,-349.73337400105066,1
32,32,1024,-391.9561,-381.09270092483,-381.09270092483,1
33,33,1089,-413.5676,-395.93566143833146,-395.93566143833146,1
34,34,1156,-442.604,-420.7907250246169,-420.7907250246169,1
35,35,1225,-471.6586,-449.8994374042575,-449.8994374042575,1
36,36,1296,-491.7721,-469.2881826479103,-469.2881826479103,1
37,37,1369,-516.157,-491.0602181620883,-491.0602181620883,1
38,38,1444,-549.2368,-525.9100477564108,-525.9100477564108,1
39,39,1521,-580.4935,-555.6806375567469,-555.6806375567469,1
40,40,1600,-603.6061,-567.9359478083651,-567.9359478083651,1
41,41,1681,-645.827,-608.116848398793,-608.116848398793,1
42,42,1764,-675.9245,-630.0563380478694,-630.0563380478694,1
43,43,1849,-716.2479,-662.778096129346,-662.778096129346,1
44,44,1936,-748.4547,-715.9362310037677,-715.9362310037677,1
