qpu_sampling_time,qpu_anneal_time_per_sample,qpu_readout_time_per_sample,qpu_access_time,qpu_access_overhead_time,qpu_programming_time,qpu_delay_time_per_sample,post_processing_overhead_time,total_post_processing_time,problem_formulation_time,connection_time,embedding_time,response_time,sample_fetch_time,Height,Width
136600.0,20.0,27.76,152524.77,1696.23,15924.77,20.54,1902.0,1902.0,0.05009031295776367,3.6246278285980225,0.09966707229614258,0.053798675537109375,0.009756326675415039,2,2
173680.0,20.0,46.3,189604.77,369.23,15924.77,20.54,793.0,793.0,0.008498191833496094,2.7860889434814453,0.15498733520507812,0.07512736320495605,0.009839057922363281,3,3
172960.0,20.0,45.94,188884.77,447.23,15924.77,20.54,578.0,578.0,0.0220794677734375,3.062920093536377,0.5687093734741211,0.3258788585662842,0.0024292469024658203,4,4
288360.0,20.0,103.64,304122.77,2594.23,15762.77,20.54,2231.0,2231.0,0.017157554626464844,2.0155029296875,0.05575871467590332,0.06107163429260254,0.0014259815216064453,5,5
266960.0,20.0,92.94,282721.17,3304.83,15761.17,20.54,2344.0,2344.0,0.012295246124267578,1.8693864345550537,0.07574033737182617,0.09459805488586426,0.0016934871673583984,6,6
190600.0,20.0,54.76,206525.17,811.83,15925.17,20.54,1421.0,1421.0,0.016696453094482422,1.6681928634643555,0.07212662696838379,0.10973906517028809,0.0014500617980957031,7,7
210840.0,20.0,64.88,226764.77,753.23,15924.77,20.54,1035.0,1035.0,0.019391298294067383,2.495361089706421,0.09940338134765625,0.22534584999084473,0.0021865367889404297,8,8
299280.0,20.0,109.1,315205.17,1685.83,15925.17,20.54,1015.0,1015.0,0.048020124435424805,1.680952548980713,0.057700157165527344,0.260664701461792,0.0017704963684082031,9,9
234560.0,20.0,76.74,250321.97,2949.03,15761.97,20.54,2895.0,2895.0,0.04225873947143555,1.6967284679412842,0.08097696304321289,0.23493695259094238,0.0016062259674072266,10,10
234600.0,20.0,76.76,250526.37,1295.63,15926.37,20.54,1322.0,1322.0,0.04107356071472168,2.3920514583587646,0.12503457069396973,0.646277904510498,0.002371072769165039,11,11
334280.0,20.0,126.6,350041.97,2424.03,15761.97,20.54,1480.0,1480.0,0.08782315254211426,1.853971242904663,0.056945085525512695,0.6328022480010986,0.0017254352569580078,12,12
206520.0,20.0,62.72,222444.37,1502.63,15924.37,20.54,1225.0,1225.0,0.05492258071899414,2.392456531524658,0.058232784271240234,0.4419839382171631,0.001619100570678711,13,13
219680.0,20.0,69.3,235605.17,1256.83,15925.17,20.54,1508.0,1508.0,0.06405138969421387,1.8253695964813232,0.0720975399017334,0.7721107006072998,0.002653837203979492,14,14
294280.0,20.0,106.6,310039.97,6536.03,15759.97,20.54,3556.0,3556.0,0.15011858940124512,1.6850659847259521,0.0630655288696289,1.7740445137023926,0.0017120838165283203,15,15
229800.0,20.0,74.36,245723.57,1604.43,15923.57,20.54,1586.0,1586.0,0.08733081817626953,1.6325759887695312,0.05884981155395508,1.228701114654541,0.001729726791381836,16,16
293280.0,20.0,106.1,309205.57,1293.43,15925.57,20.54,1940.0,1940.0,0.14176273345947266,3.4198920726776123,0.13221406936645508,2.0912201404571533,0.0017507076263427734,17,17
424560.0,20.0,171.74,440323.17,3862.83,15763.17,20.54,2862.0,942.0,0.11819863319396973,1.6480395793914795,0.09158778190612793,2.4211158752441406,0.0024755001068115234,18,18
289280.0,20.0,104.1,305203.97,1883.03,15923.97,20.54,1911.0,497.0,0.2281174659729004,2.1688687801361084,0.06611871719360352,2.290675163269043,0.0019428730010986328,19,19
