qpu_sampling_time,qpu_anneal_time_per_sample,qpu_readout_time_per_sample,qpu_access_time,qpu_access_overhead_time,qpu_programming_time,qpu_delay_time_per_sample,post_processing_overhead_time,total_post_processing_time,problem_formulation_time,connection_time,embedding_time,response_time,sample_fetch_time,Height,Width
381320.0,20.0,150.12,397082.37,5607.63,15762.37,20.54,2966.0,1206.0,0.15447759628295898,1.6418869495391846,0.08322310447692871,1.5867187976837158,0.003008127212524414,20,20
250920.0,20.0,84.92,266846.37,1526.63,15926.37,20.54,2560.0,719.0,0.35850000381469727,2.7938694953918457,0.06270670890808105,3.5488016605377197,0.002018451690673828,21,21
389040.0,20.0,153.98,404963.57,1824.43,15923.57,20.54,4336.0,203.0,0.20757365226745605,1.6469340324401855,0.058542728424072266,3.170001268386841,0.001988649368286133,22,22
464240.0,20.0,191.58,480004.37,7643.63,15764.37,20.54,6622.0,675.0,0.25066423416137695,1.7578511238098145,0.07146334648132324,2.5445008277893066,0.0022683143615722656,23,23
379840.0,20.0,149.38,395764.37,2162.63,15924.37,20.54,3819.0,828.0,0.2688577175140381,1.795607566833496,0.09885263442993164,4.78796911239624,0.0025382041931152344,24,24
398440.0,20.0,158.68,414365.17,2630.83,15925.17,20.54,3210.0,506.0,0.3005690574645996,2.9075140953063965,0.06531047821044922,10.293331623077393,0.0022020339965820312,25,25
477120.0,20.0,198.02,492883.17,5557.83,15763.17,20.54,8420.0,1496.0,0.31984806060791016,1.6494016647338867,0.07533383369445801,5.86383843421936,0.0021767616271972656,26,26
434360.0,20.0,176.64,450125.57,5981.43,15765.57,20.54,5465.0,1525.0,0.3785407543182373,1.7748892307281494,0.05550718307495117,4.53571629524231,0.0036644935607910156,27,27
371000.0,20.0,144.96,386924.37,1787.63,15924.37,20.54,4489.0,316.0,0.5926010608673096,1.7478525638580322,0.054930925369262695,22.198280096054077,0.0031447410583496094,28,28
536280.0,20.0,227.6,552049.97,8595.03,15769.97,20.54,6599.0,1996.0,0.47867584228515625,1.6288385391235352,0.07442116737365723,17.15790343284607,0.00275421142578125,29,29
400840.0,20.0,159.88,416766.77,2007.23,15926.77,20.54,7390.0,1952.0,0.5193681716918945,2.2554473876953125,0.10804510116577148,10.052844047546387,0.002371549606323242,30,30
477640.0,20.0,198.28,493400.77,8494.23,15760.77,20.54,9558.0,2016.0,0.5881166458129883,1.6625216007232666,0.07440781593322754,37.17047357559204,0.0026068687438964844,31,31
408640.0,20.0,163.78,424562.77,2044.23,15922.77,20.54,5253.0,1920.0,0.6411457061767578,1.6132493019104004,0.056401968002319336,33.68889617919922,0.004233121871948242,32,32
477000.0,20.0,197.96,492765.97,5954.03,15765.97,20.54,8121.0,1950.0,1.0127747058868408,1.659832239151001,0.0862114429473877,8.86432933807373,0.004536628723144531,33,33
415200.0,20.0,167.06,431123.57,2345.43,15923.57,20.54,17655.0,3181.0,0.7280607223510742,1.6906657218933105,0.06852197647094727,11.063048362731934,0.0026879310607910156,34,34
518040.0,20.0,218.48,533810.37,6996.63,15770.37,20.54,19673.0,3634.0,0.8395147323608398,1.6181278228759766,0.0634465217590332,15.18817138671875,0.002906322479248047,35,35
410640.0,20.0,164.78,426569.97,2440.03,15929.97,20.54,14136.0,2769.0,1.5930724143981934,2.353915214538574,0.07105374336242676,26.267865896224976,0.0029382705688476562,36,36
507640.0,20.0,213.28,523409.97,134585.03,15769.97,20.54,13898.0,1350.0,1.0052554607391357,1.773810625076294,0.07516098022460938,13.496449708938599,0.002947568893432617,37,37
418800.0,20.0,168.86,434729.97,2843.03,15929.97,20.54,13891.0,1115.0,1.0632658004760742,2.1096856594085693,0.0979008674621582,33.233763694763184,0.002987384796142578,38,38
539080.0,20.0,229.0,554845.57,9114.43,15765.57,20.54,10869.0,1191.0,1.1737949848175049,1.651801586151123,0.08303666114807129,25.150617122650146,0.003270864486694336,39,39
420880.0,20.0,169.9,436805.57,2668.43,15925.57,20.54,20005.0,4584.0,1.3484723567962646,2.1600284576416016,0.11496329307556152,34.170836210250854,0.003170013427734375,40,40
543160.0,20.0,231.04,558929.97,10215.03,15769.97,20.54,18440.0,4301.0,1.4685728549957275,2.1964457035064697,0.1427476406097412,30.1292827129364,0.0033850669860839844,41,41
422880.0,20.0,170.9,438806.37,2807.63,15926.37,20.54,18414.0,1719.0,1.536496639251709,1.593541145324707,0.06440448760986328,32.76895046234131,0.0033843517303466797,42,42
544560.0,20.0,231.74,560331.17,9160.83,15771.17,20.54,11606.0,1041.0,1.6171555519104004,3.955195188522339,0.060892343521118164,85.79298877716064,0.005468130111694336,43,43
426320.0,20.0,172.62,442245.57,2438.43,15925.57,20.54,12928.0,1656.0,2.8950963020324707,1.7937071323394775,0.08113241195678711,109.05534386634827,0.0036611557006835938,44,44
