Height,Width,n,gurobi_value,annealer_lowest_value,annealer_most_value,annealer_most_occurrences
2,2,4,-0.0003,-0.0003431825283941,0.0,1246
3,3,9,-3.5415,-3.541514523345902,-3.541514523345902,1296
4,4,16,-5.5521,-5.552132114470471,-5.528857031433944,980
5,5,25,-8.1928,-8.192809341704184,-8.192809341704184,394
6,6,36,-12.8029,-12.8029166045239,-12.786291959207814,77
7,7,49,-15.2872,-15.28724515197418,-15.28724515197418,24
8,8,64,-20.4208,-20.42084387417752,-20.42084387417752,13
9,9,81,-26.2901,-26.29011639537944,-26.27861828822737,21
10,10,100,-33.832,-33.80990643323111,-33.709854245492586,4
11,11,121,-38.7964,-38.75398487984083,-38.75398487984083,1
12,12,144,-47.1865,-47.18645098162909,-46.890813489891,2
13,13,169,-58.0242,-58.00903139972147,-58.00903139972147,1
14,14,196,-62.0913,-61.409633178612815,-61.409633178612815,1
15,15,225,-79.7527,-78.94667838991774,-78.94667838991774,1
16,16,256,-85.4906,-84.16162903000145,-84.16162903000145,1
17,17,289,-102.4671,-101.27644435977174,-101.27644435977174,1
18,18,324,-114.0911,-112.74119062528231,-112.74119062528231,1
19,19,361,-131.9756,-130.19029116807084,-130.19029116807084,1
20,20,400,-142.0984,-140.22854202799076,-140.22854202799076,1
21,21,441,-165.7246,-162.35213134228974,-162.35213134228974,1
22,22,484,-180.4418,-173.5782186882236,-173.5782186882236,1
23,23,529,-199.7165,-195.9658636371965,-195.9658636371965,1
24,24,576,-213.1354,-207.63081966872448,-207.63081966872448,1
25,25,625,-231.8932,-225.0027725571287,-225.0027725571287,1
26,26,676,-255.7301,-247.16505901178544,-247.16505901178544,1
27,27,729,-280.6038,-274.3481158164446,-274.3481158164446,1
28,28,784,-299.427,-287.37973334953585,-287.37973334953585,1
29,29,841,-321.9761,-309.66328333090667,-309.66328333090667,1
30,30,900,-352.6723,-342.2385449960151,-342.2385449960151,1
31,31,961,-364.4658,-348.3937838325174,-348.3937838325174,1
32,32,1024,-389.9203,-370.88739940322847,-370.88739940322847,1
33,33,1089,-432.4356,-415.4352407364821,-415.4352407364821,1
34,34,1156,-454.698,-435.3143185578942,-435.3143185578942,1
35,35,1225,-479.9278,-459.4454132507557,-459.4454132507557,1
36,36,1296,-508.8144,-483.27034618191993,-483.27034618191993,1
37,37,1369,-538.4856,-518.8312950717433,-518.8312950717433,1
38,38,1444,-566.0917,-537.3563863791619,-537.3563863791619,1
39,39,1521,-596.8718,-562.3061593272691,-562.3061593272691,1
40,40,1600,-630.9171,-603.6715388948096,-603.6715388948096,1
41,41,1681,-660.2779,-627.1271972281769,-627.1271972281769,1
42,42,1764,-702.5903,-664.3638952489227,-664.3638952489227,1
43,43,1849,-728.0892,-692.4619724038469,-692.4619724038469,1
44,44,1936,-769.2003,-720.2598020372482,-720.2598020372482,1
