0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,chain_break_fraction,energy,num_occurrences
1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0.0,-4.9761656866921795,250
0,0,1,1,1,0,1,1,0,1,1,0,1,1,1,1,0.0,-4.958911544893521,143
1,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0.0,-4.958830691510832,210
0,0,1,1,1,0,1,1,0,1,1,0,0,1,1,1,0.0,-4.943877315167437,184
0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0.0,-4.914829336771181,143
1,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0.0,-4.914040427430807,122
0,0,1,1,1,0,1,0,0,1,1,0,1,1,1,1,0.0,-4.905331134515787,80
0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0.0,-4.897494341589833,88
1,1,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0.0,-4.896705432249459,102
1,0,1,1,1,0,1,1,0,1,1,0,1,1,1,1,0.0,-4.89443170366129,57
0,0,1,1,1,0,1,0,0,1,1,0,0,1,1,1,0.0,-4.890296904789704,76
1,0,1,1,1,0,1,1,0,1,1,0,0,1,1,1,0.0,-4.879397473935207,63
0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0.0,-4.852704077509808,76
1,0,1,1,1,0,1,0,0,1,1,0,1,1,1,1,0.0,-4.840851293283558,22
0,1,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0.0,-4.83536908232846,63
1,0,1,1,1,0,1,0,0,1,1,0,0,1,1,1,0.0,-4.825817063557475,33
1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0.0,-4.75616568669218,21
0,0,1,1,1,0,1,1,0,1,1,0,1,1,0,1,0.0,-4.741052407914101,16
1,1,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0.0,-4.738830691510832,14
0,0,1,1,1,0,1,1,0,1,1,0,0,1,0,1,0.0,-4.726018178188017,21
0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0.0,-4.694829336771181,11
1,1,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0.0,-4.694040427430807,17
0,0,1,1,1,0,1,0,0,1,1,0,1,1,0,1,0.0,-4.687471997536368,5
0,1,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0.0,-4.677494341589833,8
1,1,0,0,0,1,0,1,1,0,0,1,1,0,1,0,0.0,-4.6767054322494594,8
1,0,1,1,1,0,1,1,0,1,1,0,1,1,0,1,0.0,-4.6765725666818705,6
0,0,1,1,1,0,1,0,0,1,1,0,0,1,0,1,0.0,-4.672437767810284,13
1,0,1,1,1,0,1,1,0,1,1,0,0,1,0,1,0.0,-4.661538336955787,4
0,1,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0.0,-4.632704077509808,7
1,0,1,1,1,0,1,0,0,1,1,0,1,1,0,1,0.0,-4.6229921563041385,1
0,1,0,0,0,1,0,1,1,0,0,1,1,0,1,0,0.0,-4.61536908232846,4
1,0,1,1,1,0,1,0,0,1,1,0,0,1,0,1,0.0,-4.607957926578055,3
1,1,0,0,1,0,0,0,0,1,0,1,1,1,1,0,0.0,-4.571303819556262,7
1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0.0,-4.565308954500766,2
0,0,1,1,0,1,1,1,1,0,1,0,0,0,0,1,0.0,-4.558572088907723,12
1,1,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0.0,-4.556269589830179,6
1,1,0,0,0,1,0,0,1,0,0,1,1,0,1,1,0.0,-4.547973959319419,2
0,0,1,1,0,1,1,1,1,0,1,0,1,0,0,1,0.0,-4.541237093726375,13
0,0,1,1,1,0,1,1,0,1,1,0,1,1,0,0,0.0,-4.541052407914101,5
0,0,1,1,1,0,1,1,0,1,1,0,0,1,0,0,0.0,-4.526018178188017,1
1,1,0,0,1,0,0,1,0,1,0,1,1,1,1,0,0.0,-4.509178560294889,3
0,0,1,1,0,1,1,0,1,0,1,0,0,0,0,1,0.0,-4.504991678529989,8
0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0.0,-4.503972604579769,2
1,1,0,0,0,1,0,1,1,0,0,1,0,0,1,1,0.0,-4.503183695239395,1
1,1,0,0,1,0,0,1,0,1,0,1,0,1,1,0,0.0,-4.494144330568806,4
0,0,1,1,0,1,1,0,1,0,1,0,1,0,0,1,0.0,-4.487656683348641,2
0,1,0,0,0,1,0,0,1,0,0,1,1,0,1,1,0.0,-4.48663760939842,3
1,1,0,0,0,1,0,1,1,0,0,1,1,0,1,1,0.0,-4.485848700058046,2
1,1,0,0,1,0,1,0,0,1,1,0,1,1,1,1,0.0,-4.470623008999541,6
