0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,chain_break_fraction,energy,num_occurrences
1,1,1,1,1,0,1,0,1,1,1,0,0,1,1,1,0.0,-4.9017873305594915,41
0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0.0,-4.880387329713507,613
0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0.0,-4.800000000000001,231
1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0.0,-4.799961387284659,28
1,1,1,1,1,0,1,0,0,1,1,0,0,1,1,1,0.0,-4.755258663563627,16
0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0.0,-4.7268618370442965,129
1,1,1,0,1,0,1,0,1,1,1,0,0,1,1,1,0.0,-4.699090577520691,4
0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0.0,-4.6809276198382115,117
1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,0,0.0,-4.653432720288795,9
0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0.0,-4.64647450733079,58
1,1,1,1,1,0,1,0,1,1,1,0,0,1,0,1,0.0,-4.621203692748893,7
1,1,1,1,1,0,1,0,1,0,1,0,1,0,0,1,0.0,-4.605768729891394,12
0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0.0,-4.600387329713507,55
1,1,1,1,1,0,1,0,0,1,1,0,1,0,0,1,0.0,-4.596563781557491,10
0,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0.0,-4.593992714571937,43
0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,0,0.0,-4.5752915517447486,75
1,1,1,0,1,0,1,0,0,1,1,0,0,1,1,1,0.0,-4.552561910524826,3
0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0.0,-4.55,26
1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,0,0.0,-4.545851508716928,4
0,1,1,1,1,0,1,0,1,1,1,0,0,1,1,1,0.0,-4.5426125893581,2
0,0,0,1,0,1,0,1,1,0,0,1,1,0,0,0,0.0,-4.527402127169001,24
0,1,1,1,0,0,1,0,0,1,1,0,0,1,1,1,0.0,-4.5260839223622344,3
1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0.0,-4.5203873297135075,39
1,0,0,0,1,1,0,1,1,0,0,1,1,0,0,0,0.0,-4.50366554737089,27
