0,1,2,3,4,5,6,7,8,chain_break_fraction,energy,num_occurrences
0,0,1,1,0,0,0,1,0,0.0,-3.43,404
1,1,0,0,1,1,1,0,1,0.0,-3.4284937492631284,666
0,0,0,1,0,1,0,1,1,0.0,-3.203755674123606,128
1,1,0,1,0,1,0,1,1,0.0,-3.1966724540787617,161
1,1,1,0,1,0,1,0,0,0.0,-3.192009609945512,115
0,0,1,0,1,0,1,0,0,0.0,-3.19,54
0,0,1,1,0,1,0,1,1,0.0,-3.160407502681565,58
1,1,0,0,1,0,1,0,0,0.0,-3.1557305925629664,103
0,1,0,1,0,1,0,1,1,0.0,-3.1037556741236063,34
1,0,1,0,1,0,1,0,0,0.0,-3.0900000000000003,21
0,1,0,0,1,1,1,0,1,0.0,-3.0798130467926534,10
1,0,1,1,0,0,0,1,0,0.0,-3.074236077484681,17
0,0,0,1,0,1,1,0,1,0.0,-3.0437478275817456,38
1,1,1,0,1,0,0,1,0,0.0,-3.0367381749312963,23
1,1,0,1,0,1,1,0,1,0.0,-3.0366646075369013,42
0,0,1,0,1,0,0,1,0,0.0,-3.0347285649857842,13
1,1,0,0,1,0,0,1,0,0.0,-3.0004591575487507,13
0,0,1,1,0,1,1,0,1,0.0,-3.000399656139705,15
1,1,0,0,1,1,0,0,1,0.0,-2.9484937492631285,5
0,1,0,1,0,1,1,0,1,0.0,-2.9437478275817455,9
0,0,1,1,0,0,1,1,0,0.0,-2.9415227366134005,4
1,0,1,0,1,0,0,1,0,0.0,-2.9347285649857846,3
0,0,1,1,1,0,0,1,0,0.0,-2.916029782597289,4
1,1,0,0,0,1,1,0,1,0.0,-2.9115305609939894,10
0,0,0,1,0,1,0,0,1,0.0,-2.8828498585235147,5
1,1,0,1,0,1,0,0,1,0.0,-2.8757666384786704,4
1,1,1,0,1,0,1,1,0,0.0,-2.867362942486466,3
0,0,1,0,1,0,1,1,0,0.0,-2.865353332540954,1
1,0,0,1,0,1,0,1,1,0.0,-2.847991751608287,2
0,1,1,0,1,0,1,0,0,0.0,-2.8433289074750374,4
0,0,1,1,0,1,0,0,1,0.0,-2.839501687081474,3
1,1,0,0,1,0,1,1,0,0.0,-2.8310839251039206,2
0,1,0,0,1,0,1,0,0,0.0,-2.8070498900924914,2
1,0,1,0,1,0,1,1,0,0.0,-2.7653533325409545,1
1,1,0,0,0,1,0,1,1,0.0,-2.7524363765940807,1
0,0,1,1,1,0,1,0,0,0.0,-2.7521991866697357,1
0,0,0,1,0,1,0,1,0,0.0,-2.75,1
1,1,0,1,1,1,1,0,1,0.0,-2.7349290134175446,1
0,0,1,0,0,0,0,1,0,0.0,-2.7300000000000004,1
0,0,1,0,1,0,1,0,1,0.0,-2.73,2
1,1,1,0,1,0,0,0,0,0.0,-2.712009609945512,2
1,1,0,0,1,0,1,0,1,0.0,-2.6957305925629664,2
1,0,0,1,0,1,1,0,1,0.0,-2.6879839050664263,2
1,1,0,0,1,0,0,0,0,0.0,-2.6757305925629664,1
0,0,1,1,0,1,1,1,1,0.0,-2.6719302392949658,1
0,0,0,0,0,1,1,0,1,0.0,-2.662849858523515,1
1,0,1,1,0,1,1,0,1,0.0,-2.6446357336243858,3
1,1,0,1,1,0,0,1,0,0.0,-2.625996452644936,1
1,0,1,1,0,0,1,1,0,0.0,-2.585758814098081,1
0,1,0,0,0,1,1,0,1,0.0,-2.562849858523515,1
1,0,0,1,0,1,1,1,1,0.0,-2.359514488221687,1
